section,group_or_category,priority,term_or_phrase,why_important,recommended_response_style,source
positive_language,Customer Understanding,,I don't understand,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I have memory problems,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,learning difficulties,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,someone helps me,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I'm not sure what you mean,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,this is all very confusing,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I need someone to help me understand,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so you're happy with that payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,okay so this is your final payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are you happy we've got your payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are you happy with that,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'll send you the payment schedule via email,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just to confirm your payments,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are those affordable,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are you happy with the monthly repayment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just let you know your next payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'm going to send it to you in an email,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just so that you have email confirmation,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,it's vitally important you get in contact,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i have sent it all to you in an email,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so we're going to set your payments,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,did you want me to set the payment schedule,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,the quicker you get the loan paid,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,once you've reached 100% of what you've borrowed,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just to make you aware,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,you're happy for me to do that payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,your account is still being charged interest,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just bearing in mind,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,if you're happy with it,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i could let you know what those repayments would look like,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,depending on where you pay it back,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i've sent you confirmation of the payment plan,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'll send you the confirmation,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,does that sound okay,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,we do need to just remind you that it is important,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so are you saying that,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so what i'll do i will email this plan across to you,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so does that seem cool,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so the email i'm just sending you now just confirms the dates and amounts,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,purely for your own records,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so you'll pay,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'm going to send you an email and it'll have the amounts and dates,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,does that help you out at all,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Is that ok,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,How does that sound,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,so this email I've just sent you just sets out the amounts and the dates that the payments will be taken,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,your payments will be a little bit higher because you haven't made payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I will send you confirmation via email of your payment plan. It just sets out the dates and the amounts. So you've got it for your records,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Does that sound helpful at all,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"so, the reason for the financial difficulty was","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Are you looking at making that payment at all today?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"If we went back to your original payment schedule, you would have had a payment that would have been due for","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are you looking at your payment going out on the,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,This is all down to the daily interest that's charged on your account,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,if you can afford that then I'll take that payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Once I've done that payment then I can see what the payments would be thereafter,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,you do have your daily interest that's charged at 0.8%,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,depending on how long you spread it over as to how much interest you would land up paying back,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Any future payments that would have been set up are now cancelled,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,That amount comes off the total of what you owe and doesn't get deposited into the account,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,it wasn't reset up again because there was no further communication in order to reset the payments up,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Is that correct?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"so that means by resetting up your payment schedule, it means your payment for the","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,was just to see what we could set up in order to get the payments on this account,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,What I'm going to do is I'm going to send you an email with an expenditure form,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,If you can send that in to me and then I'll look at getting that payment scheduled set up once I've received that,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,are you in receipt of Universal Credit?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I'll send you confirmation via email... so you know how much we'll take and when,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,will do a review on your account in,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"for data protection reasons, can you","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I'm going to send you an email with the dates so that you can double check them,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Is that okay?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Just for security purposes,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Just to give you a little bit of clarification,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,that's with your interest being added,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"If you don't keep to this plan, then it may mean that we make reference on your credit file... it will be there for six years","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Let me very quickly just reset that up for you,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I have reset that up for you,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I've just sent you an email now with a confirmation on the change of date,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,f we take the payment today and then what I'll do is I'll reset your payment plan to start from the,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I've done that for you,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Is there an amount that you think you would be able to afford and sustain on a monthly basis?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,So let me just explain that if your application is approved today,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,that can take up to 48 hours to show on your account,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,they will send you a note and an email confirming a payment has been received,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,The system has calculated that you need to pay,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"As soon as the bank transfer comes through, it will be applied to your account. But we just don't know how long it will take your bank to send it to us. That's why we say 48 hours","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"In your terms and conditions, it will tell you that 0.8% interest is added and accrued on a daily basis","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"The interest is still going to accrue. It's daily, your interest is accrued and added to your account on a daily basis","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"you can give us a call on that day, and we'll tell you what the balance is as at that day","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,will that be okay,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,which means that you would need to call in to make that payment,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,How does that sound?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,Does that make sense?,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,"While you were on hold for the 21 days, the interest wasn't charged on the account, but when you came off that hold it was","Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,I just wanted to make it aware about the email,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,It's just basically reflecting what was in the terms and conditions,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
